,Product Title,Original Price,sale Price,Saving,Product Url
0,Yellow Lawn Tunic - ALP-LK-1017,2850.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1017-v3-2020
1,Blue Lawn Tunic - ALP-LK-1015,3250.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1015-v3-2020
2,Sea Green Lawn Tunic - ALP-LK-1014,2850.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1014-v3-2020
3,Maroon Lawn Tunic - ALP-LK-1012,3450.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1012-v3-2020
4,Sky Blue Lawn Tunic - ALP-LK-1011,3250.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1011-v3-2020
5,Teal Lawn Tunic - ALP-LK-1010,3750.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/alp-lk-1010-v3-2020
6,Black Jacquard Tunic - AL-LK-749,3150.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-749-v3-2020
7,Ferozi Jacquard Tunic - AL-LK-748,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-748-v3-2020
8,Green Lawn Tunic - AL-LK-746,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-746-v3-2020
9,Ferozi Jacquard Tunic - AL-LK-747,3450.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-747-v3-2020
10,Red Lawn Tunic - AL-LK-745,3950.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-745-v3-2020
11,Pink Lawn Tunic - AL-LK-736,5950.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-736-v3-2020
12,Orange Lawn Tunic - AL-LK-735,5950.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/al-lk-735-v3-2020
